CMS, sigma, sqrt(s) = 7 TeV; no polarization
values from http://hepdata.cedar.ac.uk/view/ins1225274
yMin   yMax	pTMean  pTMin   pTMax   sigma[nb]  statPos statNeg systPos systNeg  HX_T  HX_L  CS_T  CS_L
0.	0.4	1.747	0.0	3.0	0.084	+0.006	-0.006	+0.014	-0.01	0.019	-0.011	0.017	-0.021
0.	0.4	4.843	3.0	7.0	0.143	+0.007	-0.007	+0.018	-0.018	0.038	-0.024	0.022	-0.027
0.	0.4	8.796	7.0	11.0	0.0813	+0.0043	-0.0043	+0.008	-0.0057	0.0181	-0.0209	0.0017	-0.0028
0.	0.4	12.708	11.0	15.0	0.0323	+0.002	-0.002	+0.0026	-0.0023	0.0072	-0.0081	-0.0013	0.003
0.	0.4	20.234	15.0	42.0	0.0243	+0.0014	-0.0014	+0.0016	-0.0016	0.0041	-0.0052	-0.0012	0.0029

0.4	0.8	1.763	0.0	3.0	0.088	+0.006	-0.006	+0.014	-0.01	0.016	-0.02	0.017	-0.022
0.4	0.8	4.806	3.0	7.0	0.172	+0.008	-0.008	+0.017	-0.014	0.029	-0.039	0.027	-0.035
0.4	0.8	8.769	7.0	11.0	0.0811	+0.0042	-0.0042	+0.0064	-0.0053	0.0138	-0.0183	0.0011	-0.0019
0.4	0.8	12.698	11.0	15.0	0.0293	+0.0019	-0.0019	+0.0024	-0.0022	0.0049	-0.0065	-0.0011	0.0026
0.4	0.8	19.916	15.0	42.0	0.0227	+0.0013	-0.0013	+0.0016	-0.0015	0.0033	-0.0046	-0.0011	0.0027

0.8	1.2	1.792	0.0	3.0	0.098	+0.006	-0.006	+0.014	-0.009	0.018	-0.023	0.017	-0.022
0.8	1.2	4.706	3.0	7.0	0.155	+0.008	-0.008	+0.019	-0.01	0.029	-0.034	0.024	-0.029
0.8	1.2	8.7	7.0	11.0	0.0803	+0.0043	-0.0043	+0.0062	-0.0066	0.0114	-0.016	0.0012	-0.002
0.8	1.2	12.703	11.0	15.0	0.0309	+0.0019	-0.0019	+0.0024	-0.0025	0.0044	-0.0062	-0.0012	0.0027
0.8	1.2	20.172	15.0	42.0	0.0214	+0.0013	-0.0013	+0.0016	-0.0017	0.0027	-0.004	-0.001	0.0024

1.2	1.6	1.803	0.0	3.0	0.099	+0.006	-0.006	+0.009	-0.012	0.018	-0.023	0.018	-0.023
1.2	1.6	4.583	3.0	7.0	0.161	+0.007	-0.007	+0.013	-0.01	0.029	-0.037	0.027	-0.035
1.2	1.6	8.676	7.0	11.0	0.0758	+0.0042	-0.0042	+0.0064	-0.0051	0.0103	-0.0146	0.0046	-0.0072
1.2	1.6	12.685	11.0	15.0	0.0305	+0.002	-0.002	+0.0024	-0.0023	0.0036	-0.0053	-7.0E-4	0.0016
1.2	1.6	20.443	15.0	42.0	0.0219	+0.0014	-0.0014	+0.0016	-0.0016	0.0025	-0.0037	-9.0E-4	0.0022

1.6	2.0	1.81	0.0	3.0	0.091	+0.0062	-0.0062	+0.0079	-0.0091	0.0187	-0.0231	0.0203	-0.0243
1.6	2.0	4.576	3.0	7.0	0.175	+0.008	-0.008	+0.012	-0.013	0.033	-0.042	0.04	-0.047
1.6	2.0	8.755	7.0	11.0	0.0608	+0.0043	-0.0043	+0.0058	-0.0048	0.0088	-0.0122	0.0101	-0.0132
1.6	2.0	12.735	11.0	15.0	0.0263	+0.0022	-0.0022	+0.0025	-0.0024	0.0026	-0.004	0.0018	-0.0029
1.6	2.0	20.271	15.0	42.0	0.0205	+0.0017	-0.0017	+0.0019	-0.002	0.0017	-0.0027	-1.0E-4	3.0E-4

2.0	2.4	1.884	0.0	3.0	0.0475	+0.0063	-0.0063	+0.0075	-0.0067	0.0126	-0.014	0.0143	-0.015
2.0	2.4	4.6	3.0	7.0	0.148	+0.011	-0.011	+0.015	-0.013	0.029	-0.036	0.045	-0.047
2.0	2.4	8.622	7.0	11.0	0.0636	+0.0069	-0.0069	+0.0081	-0.008	0.0103	-0.0139	0.0186	-0.0197
2.0	2.4	12.657	11.0	15.0	0.0224	+0.0033	-0.0033	+0.0037	-0.0036	0.0027	-0.0039	0.0057	-0.0064
2.0	2.4	19.825	15.0	42.0	0.0137	+0.0028	-0.0028	+0.0029	-0.0032	0.0012	-0.0019	0.0028	-0.0033

