LHCb, sigma, sqrt(s) = 2.76 TeV; *inclusive* J/psi's; JHEP 1302 (2013) 041
values from published article as they are not in HEPDATA
yMin   yMax    pTMean   pTMin   pTMax   sigma[nb] statPos statNeg sysPos sysNeg polPos	polNeg
2.0    4.5     0.5	0.	1.	1270	  60	  60	  130	 130	0.	0.
2.0    4.5     1.5	1.	2.	1780	  70	  70	  160	 160	0.	0.
2.0    4.5     2.5	2.	3.	1290	  50	  50	  90	 90	0.	0.
2.0    4.5     3.5	3.	4.	700.	  40.	  40.	  50.	 50.	0.	0.
2.0    4.5     4.5	4.	5.	313.	  22.	  22.	  24.	 24.	0.	0.
2.0    4.5     5.5	5.	6.	142.	  13.	  13.	  10.	 10.	0.	0.
2.0    4.5     6.5	6.	7.	61.	  8.	  8.	  4.	 4.	0.	0.
2.0    4.5     9.5	7.	12.	14.	  2.	  2.	  1.	 1.	0.	0.
