CMS, sigma*BR, sqrt(s) = 7 TeV; no polarization
values from
yMin   yMax     pTMean  pTMin   pTMax   sigma[pb]  statPos statNeg systPos systNeg  HX_T  HX_L 
0.60 0.90 12.484  12.	13.	1.628e+01 3.061e-01 -3.061e-01 0.000e+00 -0.000e+00 0.000e+00 -0.000e+00
0.60 0.90 13.488  13.	14.	1.079e+01 1.775e-01 -1.775e-01 0.000e+00 -0.000e+00 0.000e+00 -0.000e+00
0.60 0.90 14.483  14.	15.	7.173e+00 1.085e-01 -1.085e-01 0.000e+00 -0.000e+00 0.000e+00 -0.000e+00
0.60 0.90 15.478  15.	16.	5.022e+00 7.394e-02 -7.394e-02 0.000e+00 -0.000e+00 0.000e+00 -0.000e+00
0.60 0.90 16.484  16.	17.	3.324e+00 4.486e-02 -4.486e-02 0.000e+00 -0.000e+00 0.000e+00 -0.000e+00
0.60 0.90 17.484  17.	18.	2.551e+00 3.601e-02 -3.601e-02 0.000e+00 -0.000e+00 0.000e+00 -0.000e+00
0.60 0.90 18.489  18.	19.	1.928e+00 2.779e-02 -2.779e-02 0.000e+00 -0.000e+00 0.000e+00 -0.000e+00
0.60 0.90 19.491  19.	20.	1.413e+00 2.100e-02 -2.100e-02 0.000e+00 -0.000e+00 0.000e+00 -0.000e+00
0.60 0.90 21.133  20.	22.5	8.952e-01 8.493e-03 -8.493e-03 0.000e+00 -0.000e+00 0.000e+00 -0.000e+00
0.60 0.90 23.648  22.5	25.	4.597e-01 4.658e-03 -4.658e-03 0.000e+00 -0.000e+00 0.000e+00 -0.000e+00
0.60 0.90 26.161  25.	27.5	2.782e-01 3.354e-03 -3.354e-03 0.000e+00 -0.000e+00 0.000e+00 -0.000e+00
0.60 0.90 28.659  27.5	30.	1.588e-01 1.824e-03 -1.824e-03 0.000e+00 -0.000e+00 0.000e+00 -0.000e+00
0.60 0.90 32.154  30.	35.	8.436e-02 9.152e-04 -9.152e-04 0.000e+00 -0.000e+00 0.000e+00 -0.000e+00
0.60 0.90 37.183  35.	40.	3.584e-02 4.664e-04 -4.664e-04 0.000e+00 -0.000e+00 0.000e+00 -0.000e+00
0.60 0.90 45.493  40.	55.	1.080e-02 1.150e-04 -1.150e-04 0.000e+00 -0.000e+00 0.000e+00 -0.000e+00
0.60 0.90 62.623  55.	75.	2.339e-03 6.631e-05 -6.631e-05 0.000e+00 -0.000e+00 0.000e+00 -0.000e+00

0.90 1.20 10.456  10.	11.	3.514e+01 7.720e-01 -7.720e-01 0.000e+00 -0.000e+00 0.000e+00 -0.000e+00
0.90 1.20 11.481  11.	12.	2.311e+01 3.903e-01 -3.903e-01 0.000e+00 -0.000e+00 0.000e+00 -0.000e+00
0.90 1.20 12.480  12.	13.	1.500e+01 2.281e-01 -2.281e-01 0.000e+00 -0.000e+00 0.000e+00 -0.000e+00
0.90 1.20 13.482  13.	14.	9.313e+00 1.279e-01 -1.279e-01 0.000e+00 -0.000e+00 0.000e+00 -0.000e+00
0.90 1.20 14.474  14.	15.	6.409e+00 8.567e-02 -8.567e-02 0.000e+00 -0.000e+00 0.000e+00 -0.000e+00
0.90 1.20 15.486  15.	16.	4.307e+00 5.776e-02 -5.776e-02 0.000e+00 -0.000e+00 0.000e+00 -0.000e+00
0.90 1.20 16.481  16.	17.	3.216e+00 4.377e-02 -4.377e-02 0.000e+00 -0.000e+00 0.000e+00 -0.000e+00
0.90 1.20 17.480  17.	18.	2.220e+00 2.965e-02 -2.965e-02 0.000e+00 -0.000e+00 0.000e+00 -0.000e+00
0.90 1.20 18.479  18.	19.	1.725e+00 2.448e-02 -2.448e-02 0.000e+00 -0.000e+00 0.000e+00 -0.000e+00
0.90 1.20 19.481  19.	20.	1.226e+00 1.716e-02 -1.716e-02 0.000e+00 -0.000e+00 0.000e+00 -0.000e+00
0.90 1.20 21.153  20.	22.5	7.538e-01 7.229e-03 -7.229e-03 0.000e+00 -0.000e+00 0.000e+00 -0.000e+00
0.90 1.20 23.647  22.5	25.	4.091e-01 4.523e-03 -4.523e-03 0.000e+00 -0.000e+00 0.000e+00 -0.000e+00
0.90 1.20 26.159  25.	27.5	2.337e-01 3.017e-03 -3.017e-03 0.000e+00 -0.000e+00 0.000e+00 -0.000e+00
0.90 1.20 28.661  27.5	30.	1.386e-01 1.770e-03 -1.770e-03 0.000e+00 -0.000e+00 0.000e+00 -0.000e+00
0.90 1.20 32.207  30.	35.	8.075e-02 1.088e-03 -1.088e-03 0.000e+00 -0.000e+00 0.000e+00 -0.000e+00
0.90 1.20 37.228  35.	40.	3.700e-02 6.224e-04 -6.224e-04 0.000e+00 -0.000e+00 0.000e+00 -0.000e+00
0.90 1.20 45.490  40.	55.	1.138e-02 1.914e-04 -1.914e-04 0.000e+00 -0.000e+00 0.000e+00 -0.000e+00
0.90 1.20 62.818  55.	75.	2.683e-03 1.226e-04 -1.226e-04 0.000e+00 -0.000e+00 0.000e+00 -0.000e+00
