ATLAS, sigma*BR, sqrt(s) = 7 TeV; no polarization; Nucl.Phys.B850(2011)387
values from http://hepdata.cedar.ac.uk/View/9035664
yMin  yMax    pTMean   pTMin	pTMax   sigma[nb] statPos statNeg sysPos sysNeg spinPos spinNeg  
1.5	2.0	14.9	14.0	16.0	0.112	+0.008	-0.008	+0.012	-0.011	+0.016	-0.019	
1.5	2.0	16.9	16.0	18.0	0.05	+0.005	-0.005	+0.007	-0.005	+0.006	-0.008	
1.5	2.0	19.6	18.0	22.0	0.026	+0.003	-0.003	+0.002	-0.002	+0.003	-0.004	
1.5	2.0	25.0	22.0	30.0	0.0042	+7.0E-4	-7.0E-4	+5.0E-4	-5.0E-4	+3.0E-4	-5.0E-4	

2.0	2.4	5.5	5.0	6.0	11.5	+2.5	-2.5	+2.5	-2.6	+12.1	-2.0	 
2.0	2.4	6.5	6.0	7.0	5.6	+0.6	-0.6	+0.6	-0.6	+3.3	-0.9	
2.0	2.4	7.3	7.0	7.5	3.5	+0.5	-0.5	+0.6	-0.5	+2.3	-0.6	
2.0	2.4	7.7	7.5	8.0	3.1	+0.4	-0.4	+0.5	-0.4	+2.2	-0.5	
2.0	2.4	8.3	8.0	8.5	2.1	+0.3	-0.3	+0.3	-0.3	+0.7	-0.5	
2.0	2.4	8.7	8.5	9.0	1.6	+0.2	-0.2	+0.2	-0.2	+0.5	-0.3	
2.0	2.4	9.2	9.0	9.5	1.1	+0.1	-0.1	+0.1	-0.1	+0.3	-0.2	
2.0	2.4	9.7	9.5	10.0	0.91	+0.09	-0.09	+0.13	-0.12	+0.33	-0.12	
2.0	2.4	10.5	10.0	11.0	0.61	+0.05	-0.05	+0.07	-0.07	+0.21	-0.06	
2.0	2.4	11.5	11.0	12.0	0.42	+0.04	-0.04	+0.05	-0.06	+0.12	-0.05	
2.0	2.4	12.9	12.0	14.0	0.21	+0.02	-0.02	+0.02	-0.02	+0.05	-0.03	
2.0	2.4	15.6	14.0	18.0	0.079	+0.007	-0.007	+0.007	-0.005	+0.012	-0.007	
2.0	2.4	21.2	18.0	30.0	0.008	+0.001	-0.001	+0.001	-0.001	+0.001	-0.001	
